dish_id,label,rgb_path,depth_color_path,depth_raw_path
dish_0000,221.167068,Nutrition5K\Nutrition5K\train\color\dish_0000\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0000\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0000\depth_raw.png
dish_0001,140.980011,Nutrition5K\Nutrition5K\train\color\dish_0001\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0001\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0001\depth_raw.png
dish_0002,274.335999,Nutrition5K\Nutrition5K\train\color\dish_0002\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0002\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0002\depth_raw.png
dish_0003,589.501648,Nutrition5K\Nutrition5K\train\color\dish_0003\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0003\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0003\depth_raw.png
dish_0004,258.59967,Nutrition5K\Nutrition5K\train\color\dish_0004\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0004\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0004\depth_raw.png
dish_0005,172.644882,Nutrition5K\Nutrition5K\train\color\dish_0005\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0005\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0005\depth_raw.png
dish_0006,94.288544,Nutrition5K\Nutrition5K\train\color\dish_0006\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0006\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0006\depth_raw.png
dish_0007,311.209167,Nutrition5K\Nutrition5K\train\color\dish_0007\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0007\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0007\depth_raw.png
dish_0008,114.217117,Nutrition5K\Nutrition5K\train\color\dish_0008\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0008\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0008\depth_raw.png
dish_0009,510.05069,Nutrition5K\Nutrition5K\train\color\dish_0009\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0009\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0009\depth_raw.png
dish_0010,46,Nutrition5K\Nutrition5K\train\color\dish_0010\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0010\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0010\depth_raw.png
dish_0011,320.963989,Nutrition5K\Nutrition5K\train\color\dish_0011\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0011\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0011\depth_raw.png
dish_0012,189.349991,Nutrition5K\Nutrition5K\train\color\dish_0012\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0012\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0012\depth_raw.png
dish_0013,140.139297,Nutrition5K\Nutrition5K\train\color\dish_0013\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0013\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0013\depth_raw.png
dish_0014,290.139984,Nutrition5K\Nutrition5K\train\color\dish_0014\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0014\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0014\depth_raw.png
dish_0015,52.919998,Nutrition5K\Nutrition5K\train\color\dish_0015\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0015\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0015\depth_raw.png
dish_0016,227.436005,Nutrition5K\Nutrition5K\train\color\dish_0016\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0016\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0016\depth_raw.png
dish_0017,497.739014,Nutrition5K\Nutrition5K\train\color\dish_0017\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0017\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0017\depth_raw.png
dish_0018,321.482025,Nutrition5K\Nutrition5K\train\color\dish_0018\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0018\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0018\depth_raw.png
dish_0019,22.780001,Nutrition5K\Nutrition5K\train\color\dish_0019\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0019\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0019\depth_raw.png
dish_0020,100.550003,Nutrition5K\Nutrition5K\train\color\dish_0020\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0020\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0020\depth_raw.png
dish_0021,314.865662,Nutrition5K\Nutrition5K\train\color\dish_0021\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0021\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0021\depth_raw.png
dish_0022,37.84,Nutrition5K\Nutrition5K\train\color\dish_0022\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0022\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0022\depth_raw.png
dish_0023,73.839996,Nutrition5K\Nutrition5K\train\color\dish_0023\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0023\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0023\depth_raw.png
dish_0024,96.990005,Nutrition5K\Nutrition5K\train\color\dish_0024\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0024\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0024\depth_raw.png
dish_0025,36.445538,Nutrition5K\Nutrition5K\train\color\dish_0025\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0025\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0025\depth_raw.png
dish_0026,775.029236,Nutrition5K\Nutrition5K\train\color\dish_0026\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0026\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0026\depth_raw.png
