dish_id,label,rgb_path,depth_color_path,depth_raw_path
dish_0000,5.398918,Nutrition5K\Nutrition5K\train\color\dish_0000\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0000\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0000\depth_raw.png
dish_0001,4.948618,Nutrition5K\Nutrition5K\train\color\dish_0001\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0001\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0001\depth_raw.png
dish_0002,5.614354,Nutrition5K\Nutrition5K\train\color\dish_0002\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0002\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0002\depth_raw.png
dish_0003,6.379278,Nutrition5K\Nutrition5K\train\color\dish_0003\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0003\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0003\depth_raw.png
dish_0004,5.555281,Nutrition5K\Nutrition5K\train\color\dish_0004\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0004\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0004\depth_raw.png
dish_0005,5.151237,Nutrition5K\Nutrition5K\train\color\dish_0005\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0005\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0005\depth_raw.png
dish_0006,4.546360,Nutrition5K\Nutrition5K\train\color\dish_0006\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0006\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0006\depth_raw.png
dish_0007,5.740465,Nutrition5K\Nutrition5K\train\color\dish_0007\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0007\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0007\depth_raw.png
dish_0008,4.738101,Nutrition5K\Nutrition5K\train\color\dish_0008\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0008\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0008\depth_raw.png
dish_0009,6.234510,Nutrition5K\Nutrition5K\train\color\dish_0009\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0009\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0009\depth_raw.png
dish_0010,3.828641,Nutrition5K\Nutrition5K\train\color\dish_0010\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0010\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0010\depth_raw.png
dish_0011,5.771329,Nutrition5K\Nutrition5K\train\color\dish_0011\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0011\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0011\depth_raw.png
dish_0012,5.243597,Nutrition5K\Nutrition5K\train\color\dish_0012\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0012\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0012\depth_raw.png
dish_0013,4.942637,Nutrition5K\Nutrition5K\train\color\dish_0013\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0013\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0013\depth_raw.png
dish_0014,5.670364,Nutrition5K\Nutrition5K\train\color\dish_0014\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0014\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0014\depth_raw.png
dish_0015,3.968781,Nutrition5K\Nutrition5K\train\color\dish_0015\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0015\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0015\depth_raw.png
dish_0016,5.426869,Nutrition5K\Nutrition5K\train\color\dish_0016\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0016\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0016\depth_raw.png
dish_0017,6.210076,Nutrition5K\Nutrition5K\train\color\dish_0017\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0017\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0017\depth_raw.png
dish_0018,5.772942,Nutrition5K\Nutrition5K\train\color\dish_0018\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0018\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0018\depth_raw.png
dish_0019,3.125883,Nutrition5K\Nutrition5K\train\color\dish_0019\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0019\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0019\depth_raw.png
dish_0020,4.610655,Nutrition5K\Nutrition5K\train\color\dish_0020\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0020\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0020\depth_raw.png
dish_0021,5.752146,Nutrition5K\Nutrition5K\train\color\dish_0021\rgb.png,Nutrition5K\Nutrition5K\train\depth_color\dish_0021\depth_color.png,Nutrition5K\Nutrition5K\train\depth_raw\dish_0021\depth_raw.png
